2026-08-05 23:30:55 [INFO] Run 89 of 500 - parameters sampled
2026-08-05 23:30:58 [INFO] Run 90 of 500 - parameters sampled
2026-08-05 23:31:01 [INFO] Run 91 of 500 - parameters sampled
2026-08-05 23:31:06 [INFO] Run 92 of 500 - parameters sampled
2026-08-05 23:31:10 [INFO] Run 93 of 500 - parameters sampled
2026-08-05 23:31:16 [INFO] Run 94 of 500 - parameters sampled
2026-08-05 23:31:29 [INFO] Run 95 of 500 - parameters sampled
2026-08-05 23:31:37 [INFO] Run 96 of 500 - parameters sampled
2026-08-05 23:31:41 [INFO] Run 97 of 500 - parameters sampled
2026-08-05 23:31:45 [INFO] Run 98 of 500 - parameters sampled
2026-08-05 23:31:48 [INFO] Run 99 of 500 - parameters sampled
2026-08-05 23:31:50 [INFO] Run 100 of 500 - parameters sampled
2026-08-05 23:31:52 [INFO] Run 101 of 500 - parameters sampled
2026-08-05 23:31:55 [INFO] Run 102 of 500 - parameters sampled
2026-08-05 23:31:57 [INFO] Run 103 of 500 - parameters sampled
2026-08-05 23:32:00 [INFO] Run 104 of 500 - parameters sampled
2026-08-05 23:32:03 [INFO] Run 105 of 500 - parameters sampled
2026-08-05 23:32:07 [INFO] Run 106 of 500 - parameters sampled
2026-08-05 23:32:14 [INFO] Run 107 of 500 - parameters sampled
2026-08-05 23:32:22 [INFO] Run 108 of 500 - parameters sampled
2026-08-05 23:32:39 [INFO] Run 109 of 500 - parameters sampled
2026-08-05 23:32:44 [INFO] Run 110 of 500 - parameters sampled
2026-08-05 23:32:47 [INFO] Run 111 of 500 - parameters sampled
2026-08-05 23:32:50 [INFO] Run 112 of 500 - parameters sampled
2026-08-05 23:32:53 [INFO] Run 113 of 500 - parameters sampled
2026-08-05 23:32:55 [INFO] Run 114 of 500 - parameters sampled
2026-08-05 23:32:58 [INFO] Run 115 of 500 - parameters sampled
2026-08-05 23:33:00 [INFO] Run 116 of 500 - parameters sampled
2026-08-05 23:33:03 [INFO] Run 117 of 500 - parameters sampled
2026-08-05 23:33:06 [INFO] Run 118 of 500 - parameters sampled
2026-08-05 23:33:10 [INFO] Run 119 of 500 - parameters sampled
2026-08-05 23:33:14 [INFO] Run 120 of 500 - parameters sampled
2026-08-05 23:33:19 [INFO] Run 121 of 500 - parameters sampled
2026-08-05 23:33:24 [INFO] Run 122 of 500 - parameters sampled
2026-08-05 23:33:29 [INFO] Run 123 of 500 - parameters sampled
2026-08-05 23:33:36 [INFO] Run 124 of 500 - parameters sampled
2026-08-05 23:33:47 [INFO] Run 125 of 500 - parameters sampled
2026-08-05 23:33:53 [INFO] Run 126 of 500 - parameters sampled
2026-08-05 23:33:57 [INFO] Run 127 of 500 - parameters sampled
2026-08-05 23:34:00 [INFO] Run 128 of 500 - parameters sampled
2026-08-05 23:34:04 [INFO] Run 129 of 500 - parameters sampled
2026-08-05 23:34:06 [INFO] Run 130 of 500 - parameters sampled
2026-08-05 23:34:09 [INFO] Run 131 of 500 - parameters sampled
2026-08-05 23:34:12 [INFO] Run 132 of 500 - parameters sampled
2026-08-05 23:34:15 [INFO] Run 133 of 500 - parameters sampled
2026-08-05 23:34:18 [INFO] Run 134 of 500 - parameters sampled
2026-08-05 23:34:22 [INFO] Run 135 of 500 - parameters sampled
2026-08-05 23:34:26 [INFO] Run 136 of 500 - parameters sampled
2026-08-05 23:34:31 [INFO] Run 137 of 500 - parameters sampled
2026-08-05 23:34:36 [INFO] Run 138 of 500 - parameters sampled
2026-08-05 23:34:46 [INFO] Run 139 of 500 - parameters sampled
2026-08-05 23:34:54 [INFO] Run 140 of 500 - parameters sampled
2026-08-05 23:34:58 [INFO] Run 141 of 500 - parameters sampled
2026-08-05 23:35:02 [INFO] Run 142 of 500 - parameters sampled
2026-08-05 23:35:05 [INFO] Run 143 of 500 - parameters sampled
